timestamp_unix,date_str,symbol,open,high,low,close,volume,volumeUsd
1578434400.0,2020-01-07 10-PM,BTCUSD,8020,8054.4,7955.82,8036.5,193.04,1546792.68
1578430800.0,2020-01-07 09-PM,BTCUSD,8159,8185,7992.2,8020,747.64,6042399.62
1578427200.0,2020-01-07 08-PM,BTCUSD,8073,8167.9,8051.1,8159,486.18,3949931.17
1578423600.0,2020-01-07 07-PM,BTCUSD,8039.6,8098,8039.6,8073,246.16,1988191.29
1578420000.0,2020-01-07 06-PM,BTCUSD,7941.8,8120,7930.6,8039.6,1825.13,14675840.37
1578416400.0,2020-01-07 05-PM,BTCUSD,7927,7951.28,7892.07,7941.8,316.5,2510972.99
1578412800.0,2020-01-07 04-PM,BTCUSD,7770.3,7953,7741.9,7927,843.58,6636037.34
1578409200.0,2020-01-07 03-PM,BTCUSD,7858.5,7858.56,7760,7770.3,377.8,2944679.42
1578405600.0,2020-01-07 02-PM,BTCUSD,7859.1,7884.1,7844.4,7858.5,174.57,1374475.47
1578402000.0,2020-01-07 01-PM,BTCUSD,7875.1,7875.1,7823.7,7859.1,163.4,1281218.04
1578398400.0,2020-01-07 12-PM,BTCUSD,7903.9,7912.24,7855.8,7875.1,141.6,1116905.85
1578394800.0,2020-01-07 11-AM,BTCUSD,7880,7952,7879.97,7903.9,631.14,5000576.25
1578391200.0,2020-01-07 10-AM,BTCUSD,7860,7882.1,7860,7880,224.72,1770054.36
1578387600.0,2020-01-07 09-AM,BTCUSD,7879.4,7880,7860,7860,111.18,875472.84
1578384000.0,2020-01-07 08-AM,BTCUSD,7877.9,7893.9,7869.7,7879.4,147.16,1159876.82
1578380400.0,2020-01-07 07-AM,BTCUSD,7870.7,7888.7,7857.2,7877.9,104.59,822866.63
1578376800.0,2020-01-07 06-AM,BTCUSD,7878.1,7878.7,7859.96,7870.7,54.98,432353.74
1578373200.0,2020-01-07 05-AM,BTCUSD,7834.9,7884.2,7834.9,7878.1,242.23,1905087.31
1578369600.0,2020-01-07 04-AM,BTCUSD,7894.8,7896.5,7808,7834.9,298.33,2342431.01
1578366000.0,2020-01-07 03-AM,BTCUSD,7893.4,7910,7880.8,7894.8,111.52,880819.1
1578362400.0,2020-01-07 02-AM,BTCUSD,7896.58,7927.5,7888.8,7893.4,333.5,2637629.87
1578358800.0,2020-01-07 01-AM,BTCUSD,7876.7,7901,7855.9,7896.58,237.44,1872733.96
1578355200.0,2020-01-07 12-AM,BTCUSD,7757.9,7938,7757.9,7876.7,3879.1,30548122.92
1578351600.0,2020-01-06 11-PM,BTCUSD,7714.9,7785,7708.4,7757.9,992.91,7701100.99
1578348000.0,2020-01-06 10-PM,BTCUSD,7585.3,7776.9,7585.1,7714.9,1948.91,14998420.09
1578344400.0,2020-01-06 09-PM,BTCUSD,7558.9,7604.2,7558.9,7585.3,395.8,3002300.09
1578340800.0,2020-01-06 08-PM,BTCUSD,7551.1,7559,7545.3,7558.9,52.06,393340.56
1578337200.0,2020-01-06 07-PM,BTCUSD,7542.44,7553.9,7500.55,7551.1,373.78,2811860.89
1578333600.0,2020-01-06 06-PM,BTCUSD,7562.5,7562.5,7538.1,7542.44,153.17,1156854.39
1578330000.0,2020-01-06 05-PM,BTCUSD,7542,7562.5,7541.9,7562.5,51.03,385534.23
1578326400.0,2020-01-06 04-PM,BTCUSD,7538,7559.8,7523.5,7542,160.02,1206891.26
1578322800.0,2020-01-06 03-PM,BTCUSD,7558.06,7560,7535.4,7538,67.58,509781.93
1578319200.0,2020-01-06 02-PM,BTCUSD,7534.83,7565.7,7516.46,7558.06,107.42,810854.53
1578315600.0,2020-01-06 01-PM,BTCUSD,7562.3,7632,7504.4,7534.83,1010.07,7643787.27
1578312000.0,2020-01-06 12-PM,BTCUSD,7552.66,7566,7543,7562.3,230.7,1742727.12
1578308400.0,2020-01-06 11-AM,BTCUSD,7570.5,7576,7547,7552.66,121.25,917128.14
1578304800.0,2020-01-06 10-AM,BTCUSD,7549.8,7572.2,7547.1,7570.5,196.63,1485837.95
1578301200.0,2020-01-06 09-AM,BTCUSD,7559.38,7559.38,7529.7,7549.8,140.63,1060317.5
1578297600.0,2020-01-06 08-AM,BTCUSD,7523.3,7560.9,7523,7559.38,257.96,1945314.97
1578294000.0,2020-01-06 07-AM,BTCUSD,7526.7,7542.8,7523.3,7523.3,144.44,1088080.74
1578290400.0,2020-01-06 06-AM,BTCUSD,7532,7534,7525.9,7526.7,83.55,629160.85
1578286800.0,2020-01-06 05-AM,BTCUSD,7542.7,7548.8,7510,7532,91.94,692231.7
1578283200.0,2020-01-06 04-AM,BTCUSD,7544.8,7560.9,7536.9,7542.7,108.67,820195.19
1578279600.0,2020-01-06 03-AM,BTCUSD,7558.64,7584.3,7503.5,7544.8,465.8,3514560.39
1578276000.0,2020-01-06 02-AM,BTCUSD,7432.5,7568.14,7431.1,7558.64,910.39,6841151.44
1578272400.0,2020-01-06 01-AM,BTCUSD,7389.1,7435,7383,7432.5,105.91,784486.67
1578268800.0,2020-01-06 12-AM,BTCUSD,7364.6,7389.8,7358,7389.1,369.89,2726560.72
1578265200.0,2020-01-05 11-PM,BTCUSD,7357.3,7365.6,7336.4,7364.6,119.52,878831.79
1578261600.0,2020-01-05 10-PM,BTCUSD,7384,7386.3,7315.8,7357.3,228.5,1679120.13
1578258000.0,2020-01-05 09-PM,BTCUSD,7436.3,7436.3,7353.3,7384,329.79,2438470.4
1578254400.0,2020-01-05 08-PM,BTCUSD,7447,7447,7420.1,7436.3,419.48,3115529.85
1578250800.0,2020-01-05 07-PM,BTCUSD,7449.14,7449.14,7439.7,7447,792.02,5894365.02
1578247200.0,2020-01-05 06-PM,BTCUSD,7480.3,7481.7,7440,7449.14,86.67,646515.99
1578243600.0,2020-01-05 05-PM,BTCUSD,7475.4,7484,7465.2,7480.3,50.31,376160.96
1578240000.0,2020-01-05 04-PM,BTCUSD,7477.7,7490.9,7467.26,7475.4,110.35,825564.4
1578236400.0,2020-01-05 03-PM,BTCUSD,7448.8,7480,7447.8,7477.7,104.35,779022.31
1578232800.0,2020-01-05 02-PM,BTCUSD,7446,7454,7440.8,7448.8,43.87,326787.52
1578229200.0,2020-01-05 01-PM,BTCUSD,7470,7475,7430.6,7446,598.1,4451871.72
1578225600.0,2020-01-05 12-PM,BTCUSD,7451,7470,7450,7470,117.94,879801.82
1578222000.0,2020-01-05 11-AM,BTCUSD,7437.38,7458.3,7434.3,7451,29.26,217880.53
1578218400.0,2020-01-05 10-AM,BTCUSD,7447.06,7450.1,7430,7437.38,31.55,234892.37
1578214800.0,2020-01-05 09-AM,BTCUSD,7449.8,7456.8,7430,7447.06,68.28,508199.6
1578211200.0,2020-01-05 08-AM,BTCUSD,7485.68,7490.2,7437.8,7449.8,86.84,648033.2
1578207600.0,2020-01-05 07-AM,BTCUSD,7485.7,7489.9,7474.6,7485.68,64.88,485326.96
1578204000.0,2020-01-05 06-AM,BTCUSD,7485.77,7500,7475.8,7485.7,63.44,475314.76
1578200400.0,2020-01-05 05-AM,BTCUSD,7478.4,7488.4,7474,7485.77,58.62,438639.37
1578196800.0,2020-01-05 04-AM,BTCUSD,7492.9,7509.9,7470.8,7478.4,68.9,516043.42
1578193200.0,2020-01-05 03-AM,BTCUSD,7468.28,7495.8,7468.2,7492.9,23.36,174697.66
1578189600.0,2020-01-05 02-AM,BTCUSD,7483,7502.9,7455.5,7468.28,171.33,1282514.05
1578186000.0,2020-01-05 01-AM,BTCUSD,7391.2,7499,7391.2,7483,623.83,4653783.4
1578182400.0,2020-01-05 12-AM,BTCUSD,7369.83,7408.6,7369.83,7391.2,158.83,1173881.59
1578178800.0,2020-01-04 11-PM,BTCUSD,7363,7374.3,7351.99,7369.83,28.95,213135.35
1578175200.0,2020-01-04 10-PM,BTCUSD,7370.36,7373,7359.1,7363,288.11,2121992.87
1578171600.0,2020-01-04 09-PM,BTCUSD,7363.3,7383.2,7356.9,7370.36,229.65,1692151.2
1578168000.0,2020-01-04 08-PM,BTCUSD,7354.1,7364.7,7333.7,7363.3,62.2,457476.83
1578164400.0,2020-01-04 07-PM,BTCUSD,7322.86,7368.7,7311.1,7354.1,118.57,869291.35
1578160800.0,2020-01-04 06-PM,BTCUSD,7366,7422,7297.3,7322.86,766.36,5648416.1
1578157200.0,2020-01-04 05-PM,BTCUSD,7336.6,7371.2,7333.9,7366,1088.5,8007314.58
1578153600.0,2020-01-04 04-PM,BTCUSD,7348.6,7349.98,7326,7336.6,324.63,2382848.18
1578150000.0,2020-01-04 03-PM,BTCUSD,7345,7349.6,7330,7348.6,173.17,1271822.81
1578146400.0,2020-01-04 02-PM,BTCUSD,7330.8,7345,7325.98,7345,343.08,2518817.09
1578142800.0,2020-01-04 01-PM,BTCUSD,7341.17,7353,7326.8,7330.8,60.42,443244.98
1578139200.0,2020-01-04 12-PM,BTCUSD,7361.69,7362,7341.1,7341.17,38.43,282774.32
1578135600.0,2020-01-04 11-AM,BTCUSD,7347.2,7362,7334,7361.69,48.1,353598.58
